article_number,title,quantity,price,discounts,url_tovar
0tovar,"Шариковая ручка ""PARKER""",100,75480,20,https://www.parkerrussia.ru/pens/duofold/PR20B-MLT53/
1tovar,"Перьевая ручка ""PARKER""",100,200000,0,https://pen-parker.ru/fountains/parker-duofold-2123549/
2tovar,Ручка школьника,100,70,0,https://www.ozon.ru/product/ruchka-lego-918586094/?asb2=ZiB0lHfB6UzaxePKIo6Jo77phqNBi8Dbiuz5Q-w8rCcRCTpZUmss_gDvoh0BuMZv&avtc=1&avte=2&avts=1680357851&keywords=ручки+шариковые&sh=iNe1bzckrQ
3tovar,"Карандаш механический ""Bruno Visconti""",100,52,0,https://leonardo.ru/ishop/group_67541861234/
4tovar,"Ластик для чернографитных карандашей ""KOH-I-NOOR Hardtmuth""",100,117,10,https://leonardo.ru/ishop/good_5040500583/
5tovar,"Карандаш корректирующий ""Edding""",100,260,0,https://leonardo.ru/ishop/good_31744315742/
6tovar,"Клей-карандаш ""PRYM""",375,84,0,https://leonardo.ru/ishop/good_209767311/
7tovar,"Маркер перманентный ""Pentel""",840,38,0,https://leonardo.ru/ishop/good_73277167744/
8tovar,"Маркер акриловый ""PEBEO""",100,275,15,https://leonardo.ru/ishop/group_35861226922/
9tovar,"Декоративная ручка ""Sakura""",100,203,0,https://leonardo.ru/ishop/good_21808617932/
10tovar,"Маркер лаковый ""Edding""",100,622,50,https://leonardo.ru/ishop/good_74180313104/
